logM, logSFR
10.40822, 0.9660582
10.26114, 1.153316
10.62528, 1.093398
10.40051, 0.6024184
10.51331, 0.8008165
10.08967, 1.057883
10.29388, -0.6977456
10.13787, 0.2909144
10.47942, 0.8966961
10.13872, 0.5640512
10.03959, 0.4841442
10.30462, 1.163565
10.6645, 1.204518
10.27863, 0.6240211
11.03931, 1.362097
10.36313, 1.028584
10.22633, 1.400343
10.76973, -0.5835646
10.51107, 1.050955
10.27512, 0.9099805
10.58664, 0.8323175
10.23717, 0.453279
10.81348, 1.438031
10.14435, 0.5997587
10.27769, 0.6522422
10.10372, 0.4500995
10.53384, 1.336395
10.25821, 0.7042019
10.10363, 0.4392059
10.86988, 0.7893193
